id,population_sum,density_p_per_km2
AUT.1_1,289681.1875,72.96342661281656
AUT.2_1,553857.625,58.4771867655358
AUT.3_1,1679097.875,87.27136290996827
AUT.4_1,1411421.875,118.09675352853662
AUT.5_1,540108.5,75.22359297048654
AUT.6_1,1220281.75,74.23394763327843
AUT.7_1,727203.25,57.689021221062355
AUT.8_1,377061.71875,145.9167910292635
AUT.9_1,1742745.25,4176.504132398523
BEL.1_1,1185485.875,7584.719975710153
BEL.2_1,6491008.0,473.69177818808294
BEL.3_1,3622967.0,215.03653406978228
BGR.1_1,315935.21875,47.83140588316505
BGR.2_1,407086.375,52.29566117936591
BGR.3_1,177442.546875,37.596057743196084
BGR.4_1,114533.9921875,51.438389348098504
BGR.5_1,1337376.875,988.7563003274017
BGR.6_1,234013.328125,43.94932263246523
BGR.7_1,148210.171875,47.17108672499787
BGR.8_1,127183.4921875,40.277556699285256
BGR.9_1,131131.515625,30.902894529638758
BGR.10_1,135545.5,36.00904293398737
BGR.11_1,261648.734375,60.41298798583212
BGR.12_1,127267.15625,52.4828529901291
BGR.13_1,245169.6875,55.03111592630793
BGR.14_1,668501.625,105.61056742835322
BGR.15_1,115468.8359375,43.59337195524816
BGR.16_1,211577.625,77.65197078459246
BGR.17_1,172355.0625,47.734833941882634
BGR.18_1,112117.390625,41.18768353254704
BGR.19_1,188520.703125,54.86504481374714
BGR.20_1,114791.921875,34.65249461083668
BGR.21_1,239259.65625,33.56006841183397
BGR.22_1,318566.90625,62.942422087808254
BGR.23_1,114253.3046875,45.345263877374215
BGR.24_1,475385.21875,128.8942693905749
BGR.25_1,242661.890625,51.98839222259759
BGR.26_1,90953.296875,29.665747564771355
BGR.27_1,166986.125,44.580563055007055
BGR.28_1,122350.7734375,36.05010239460947
HRV.1_1,115287.03125,43.3452793172964
HRV.2_1,150176.421875,74.86828848153719
HRV.3_1,115883.8828125,58.385614271238225
HRV.4_1,877056.5,693.5881345330938
HRV.5_1,205659.984375,71.16282421924677
HRV.6_1,124954.578125,34.76553913554891
HRV.7_1,112193.765625,63.60969432402641
HRV.8_1,129967.1015625,108.45292159405979
HRV.9_1,49427.6875,9.180967988160498
HRV.10_1,111441.828125,146.13383480904923
HRV.11_1,295941.25,74.04436185501618
HRV.12_1,75567.984375,41.728909962350876
HRV.13_1,286634.75,78.71798344451406
HRV.14_1,104204.9765625,35.70182465303118
HRV.15_1,166981.796875,37.22628406353198
HRV.16_1,433475.28125,91.23922519434743
HRV.17_1,173481.359375,132.76429907515652
HRV.18_1,82471.40625,39.781313193973396
HRV.19_1,168118.21875,69.73661796577932
HRV.20_1,169508.796875,44.85233385176874
HRV.21_1,241990.515625,100.96408010156952
CYP.1_1,43772.1171875,214.52057377641577
CYP.2_1,131947.734375,144.54251245581764
CYP.3_1,230869.703125,182.6662170807434
CYP.4_1,297140.96875,150.69919655141018
CYP.5_1,94226.3515625,68.92381972335436
CZE.1_1,629071.4375,62.90907859641939
CZE.2_1,1176803.625,165.918121597143
CZE.3_1,294740.6875,86.0841372832337
CZE.4_1,514740.28125,73.06042895481981
CZE.5_1,549126.1875,113.53012897438495
CZE.6_1,432053.46875,137.3956166951157
CZE.7_1,1179468.75,217.917000873577
CZE.8_1,612490.6875,120.89598241835965
CZE.9_1,509916.625,114.23702768729252
CZE.10_1,579483.8125,76.19801371251984
CZE.11_1,1293372.5,2643.0364480034013
CZE.12_1,1395415.25,128.84434952540255
CZE.13_1,810019.4375,149.3641749996141
CZE.14_1,574931.375,143.63824214549575
DNK.1_1,1746877.5,678.798683678019
DNK.2_1,1283109.75,97.66684942813824
DNK.3_1,574701.375,72.59310430628126
DNK.4_1,814267.9375,110.97313748877043
DNK.5_1,1203831.625,98.84102515789041
EST.1_1,577402.3125,133.06002016728735
EST.2_1,7320.314453125,7.076663037252219
EST.3_1,146225.078125,44.1251403793942
EST.4_1,29415.546875,11.215954026943871
EST.5_1,29113.19140625,11.177364086091861
EST.7_1,22242.640625,9.164422593855676
EST.6_1,55698.1796875,15.963991266586966
EST.8_1,80471.84375,16.72574328480401
EST.9_1,520.8261108398439,0.2951050570999152
EST.10_1,26974.107421875,12.447465160322329
EST.11_1,39921.4609375,13.395199467178424
EST.12_1,36334.171875,12.356163567270121
EST.13_1,151332.734375,46.36209814100248
EST.14_1,28773.828125,14.180188287810156
EST.15_1,44780.74609375,13.099879336764772
EST.16_1,31444.8203125,13.77315541985153
FIN.1_1,589813.0625,9.33730738009768
FIN.2_1,181665.453125,1.8346347701652097
FIN.3_1,480742.09375,7.794996102189876
FIN.4_1,1918753.0,82.40421629145074
FIN.5_1,2264464.75,25.218168690812615
FRA.1_1,7811690.5,109.69613870598236
FRA.2_1,2838633.0,59.06725802425561
FRA.3_1,3287991.5,118.989993848972
FRA.4_1,2576660.25,65.17939124398332
FRA.5_1,320683.9375,36.677876129852834
FRA.6_1,5568215.0,96.47562113010325
FRA.7_1,5932215.0,185.48529292932076
FRA.8_1,12093305.0,1002.064120313243
FRA.9_1,3331297.5,110.41306479189632
FRA.10_1,5937264.0,70.01472435079282
FRA.11_1,5828988.5,79.54875833458189
FRA.12_1,3708324.25,114.51313737559661
FRA.13_1,5034542.5,157.61716203776808
DEU.1_1,10645879.0,295.1101548706605
DEU.2_1,12677476.0,179.70792128185474
DEU.3_1,3341143.0,3746.2555579733184
DEU.4_1,2465290.75,83.13455828922213
DEU.5_1,657575.9375,1644.7410229697475
DEU.6_1,1740122.875,2363.0766982112577
DEU.7_1,6045573.5,286.3145588242434
DEU.8_1,1572416.0,67.26468967984181
DEU.9_1,7820969.5,164.05699560051656
DEU.10_1,17596942.0,515.8022457803339
DEU.11_1,4052077.25,204.06928484575457
DEU.12_1,983546.8125,382.55304535347165
DEU.14_1,3986815.5,216.101003567797
DEU.13_1,2203474.75,107.21263712281076
DEU.15_1,2820347.75,180.4598738390483
DEU.16_1,2114996.0,130.54719044742902
GRC.1_1,500950.65625,53.67842793277526
GRC.2_1,1667.7958984375,4.938299569581603
GRC.3_1,3841983.0,998.7735445452026
GRC.4_1,640034.125,76.4462064461674
GRC.5_1,624284.9375,33.30549582819942
GRC.6_1,2515540.25,76.02031716318629
GRC.7_1,1442709.875,49.498552292192336
GRC.8_1,1283125.5,43.19630980089491
HUN.1_1,499378.4375,60.03270126434456
HUN.2_1,366637.40625,81.7539098168666
HUN.3_1,343099.8125,60.67842962990867
HUN.4_1,672381.75,92.8013284698823
HUN.5_1,1829627.25,3232.4963544179213
HUN.6_1,403531.90625,93.35721058861225
HUN.7_1,430772.75,99.03664035611382
HUN.8_1,456012.15625,107.47660851345366
HUN.9_1,582262.6875,92.06134315232428
HUN.10_1,304371.21875,84.63901297900775
HUN.11_1,377973.71875,68.70803667018417
HUN.12_1,280182.59375,125.63750179312778
HUN.13_1,196901.515625,76.83479180188459
HUN.14_1,1168162.5,179.99032574447435
HUN.15_1,304863.21875,51.180497859952204
HUN.16_1,570066.9375,95.83015495683826
HUN.17_1,221852.953125,59.21398504070135
HUN.18_1,252448.703125,74.69412913538223
HUN.19_1,333030.84375,77.21673902530559
HUN.20_1,265105.8125,69.40945965113514
IRL.1_1,56728.1953125,55.54675362958758
IRL.2_1,78510.453125,39.71701468860767
IRL.3_1,115507.3125,34.81552947989933
IRL.4_1,522004.71875,67.1281497631984
IRL.5_1,159953.5,32.56516247318976
IRL.6_1,1281249.625,1439.2156024224262
IRL.7_1,254223.5625,40.53416598255502
IRL.8_1,140544.671875,30.64723943935889
IRL.9_1,225671.546875,125.09873070943047
IRL.10_1,104021.4296875,51.18070182629922
IRL.11_1,88253.796875,53.51011488933282
IRL.12_1,31819.76953125,20.651761515632995
IRL.13_1,192891.5,71.47421875667013
IRL.14_1,42383.79296875,38.10497569748483
IRL.15_1,107951.4140625,121.3787943192536
IRL.16_1,128765.125,22.80320848084558
IRL.17_1,228424.0,103.1820296065695
IRL.18_1,63675.43359375,47.3384208889755
IRL.19_1,73741.9609375,38.89721921457883
IRL.20_1,71079.7578125,27.81204969939397
IRL.21_1,66216.0234375,35.02806036568677
IRL.22_1,159908.75,35.86400299997192
IRL.23_1,113963.1484375,61.573189580654095
IRL.24_1,84266.6875,44.54925862043342
IRL.25_1,142521.984375,63.53855188371201
IRL.26_1,135288.125,71.34149917601862
ITA.1_1,1311062.375,121.5799404900939
ITA.2_1,3993767.75,206.68024646568364
ITA.3_1,560048.8125,56.06841271526846
ITA.4_1,1896458.25,125.79552434354113
ITA.5_1,5693627.5,417.60086086679576
ITA.6_1,4420264.0,200.01828988375587
ITA.7_1,1215136.875,155.73961699334205
ITA.8_1,5580947.5,323.8409463937185
ITA.9_1,1481993.625,271.6634451761145
ITA.10_1,9878515.0,413.3384405619484
ITA.11_1,1576729.375,162.68164492900596
ITA.12_1,309295.3125,69.77473920851091
ITA.13_1,4374984.5,172.99070199390994
ITA.14_1,1600718.375,66.4807786289854
ITA.15_1,4906195.0,190.57799675932
ITA.16_1,3678987.25,159.83179561645375
